Depth(ft),ROP(1 ft),weight on bit (k-lbs),Temp Out( degF),Temp In(degF),Pit Total (bbls),Pump Press (psi),Hookload (k-lbs),Surface Torque (KPa),Rotary Speed (rpm),Flow In (gal/min),Flow Out %,WH Pressure (psi)
323.36,93.82,23.01,103.51,101.55,175.96,451.9,57.39,83.71,0,1040.57,87.33,-1231.07
324.36,111.89,32.85,103.55,101.7,175.43,449.99,47.55,84.19,0,1038.74,89.03,-1231.07
325.39,52.71,24.54,103.59,101.85,174.53,447.33,55.86,84.46,0,1039.14,88.17,-1231.45
326.44,78.11,22.32,103.59,101.93,173.84,447.33,58.08,85.22,0,1038.73,87.33,-1230.69
327.51,124.84,19.12,103.59,102.04,173.81,453.43,61.28,85.22,0,1044.03,87,-1231.07
327.92,125.99,13.02,104.35,104.18,176.46,445.04,67.38,99.22,0,1010.67,67.38,-1230.69
329,69.09,8.68,104.5,104.1,176.79,448.09,71.72,101.29,0,1013.11,67.91,-1230.31
330.07,258,2.5,104.66,104.06,176.73,443.89,77.9,102.32,0,1011.68,67.41,-1230.31
331.1,205,19.81,104.77,104.06,176.89,446.94,60.59,103.36,0,1015.75,68.43,-1230.31
332.1,70.36,2.58,105.11,103.95,177.2,446.94,77.82,105.22,0,1016.77,68.99,-1230.69
333.1,73.45,4.02,105.31,103.87,177.18,448.09,76.38,107.36,0,1014.53,68.96,-1230.31
334.12,246.01,11.65,105.38,103.87,177.38,445.04,68.75,107.08,0,1010.26,66.76,-1230.31
335.15,147.59,4.18,105.46,103.87,177.42,446.18,76.22,107.63,0,1010.47,69.55,-1230.31
336.27,159.23,11.57,105.57,103.91,177.44,448.09,68.83,107.08,0,1009.45,72.09,-1230.31
337.4,150,11.8,105.65,103.87,177.49,442.75,68.6,106.53,0,1009.24,69.69,-1230.31
338.45,114.53,5.55,105.72,103.87,177.71,441.61,74.85,105.49,0,1004.97,70.95,-1230.31
